ID,Design Code
1,64295
2,64295B
3,64294
4,64294A
5,64176R
6,64176B
7,64201R
8,64201RA
9,64287
10,64287A
11,64289
12,64289A
13,107
14,108
15,109
16,110
17,87427
18,87428
19,64859
20,64854B
21,64969
22,64971
23,64965
24,64967
25,64970
26,64968
27,87772
28,64972
29,64293B
30,64176RB
31,64290B
32,BENZ180
33,BENZ181
34,BENZ182
35,BENZ183
36,BENZ184
37,BENZ185
38,64556
39,64550
40,64554
41,64551
42,64557
43,64553
44,64555
45,64552
46,64556R
47,64550A
48,64554A
49,64551A
50,64557A
51,64553A
52,64555A
53,64552A
54,845
55,829
56,844
57,825
58,843
59,838
60,834
61,839
62,840
63,65663
64,65664
65,65493
66,100682
67,100683
68,88446
69,64966
70,64963
71,64964
72,30786
73,30782
74,30781
75,65767
76,631-1A
77,632-1B
78,633-1C
79,634-2A
80,635-2B
81,636-2C
82,637-3A
83,638-3B
84,639-3C
85,640-4A
86,641-4B
87,642-4C
88,9913
89,9914
90,9922
91,9924
92,695
93,9919
94,9920
95,9918
96,687
97,689
98,685
99,694
100,88424A(W)
101,88352A(W)
102,88354(W)
103,88354A(W)
104,100659(W)
105,88352(W)
106,88424(W)
107,88355A(W)
108,88355(W)
109,65883G
110,65883S
111,65884G
112,65885S
113,65886G
114,65886S
115,65887G
116,65887S
117,65885G
118,65884S
119,65888G
120,65888S
121,BENZ180B
122,BENZ183B
123,65524A
124,BENZ186
125,BENZ187
126,BENZ188
127,64200R
128,64200RA
129,64290
130,64198R
131,64198RA
132,87771
133,100791
134,88600
135,88707
136,88710
137,88711
138,8261A
139,123
140,DOBBY 4
141,33194 ( D 4 )
142,8834
143,8835
144,8836
145,8837
146,12483
147,12482
148,6082
149,6083
150,6084
151,6085
152,6086
153,6087
154,6088
155,6089
156,33525
157,33553
158,33728
159,33526
160,33727
161,12543
162,6097
163,6098
164,6099
165,6100
166,6101
167,6102
168,6103
169,6104
170,BENZZ183
171,BENZZ184
172,BENZZ186
173,BENZZ191
174,BENZZ192
175,BENZZ193
176,BENZZ209
177,BENZZ210
178,BENZZ211
179,BENZZ212
180,BENZZ213
181,BENZZ214
182,BENZZ287
183,BENZZ288
184,BENZZ289
185,BENZZ290
186,BENZZ291
187,BENZZ292
188,67081
189,67469
190,67461
191,67420
192,67423
193,67429
194,67430
195,8915A
196,33968
197,33969
198,33967
199,33965
200,34000
201,67579
202,67580
203,67581
204,67582
205,LITCO
206,TRILOK
207,TRIKSHA
208,RD2507-015
209,RD2507-018
210,RD2507-019
211,RD2409-082
212,RD2507-016
213,34210
214,34214
215,34215
216,34216
217,34217
218,34347
219,RD2507-084
220,RD2409-083
221,RD2507-021
222,8559
223,A0463
224,RD2508-30
225,711
226,722
227,713
228,719
229,FDCS001
230,FDCS002
231,ANTILIA
232,67871
233,67872
234,67856
235,67864
236,67867
237,34712
238,34715
239,34716
240,34717
241,67183
242,8688
243,8689
244,DVLS -029
245,DVLS -029E
246,DVLS-029F
247,1002
248,1007
249,93208
250,34211
251,34212
252,34213
253,34409
254,34412
255,34413
256,34291
257,34292
258,34293
259,34295
260,34296
261,34297
262,34300
263,34302
264,34446
265,33745
266,33746
267,33752
268,33747
269,33753
270,64969.1
271,87771.1
272,33737
273,8952
274,9452A
275,1005
276,1004
277,1003
278,DSN 40
279,DSN 39
280,DSN 38
281,DSN 37
282,DSN 34
283,DSN 36
284,1002 ENES
285,34803
286,34804
287,1
288,2
