ID,Selvedge Details
1,21ST CENTURY FABRICS 100% GIZA MADE IN JAPAN (YING YANG)
2,21ST CENTURY FABRICS 100% COTTON 100-100 SHAHZADA LAWN
3,60 SUPERFINE ORGANIC COTTON LINEN TISSOT LEA
4,BENZ-053-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
5,BENZ-055-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
6,BENZ-180-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
7,BENZ-181-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
8,BENZ-182- FINEST GIZA COTTON LUXURY ITALINO CLOTHING
9,BENZ-183-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
10,100% COTTON - 70*70 LEA SLUB - ARMANI
11,100% COTTON 30*30 LEA SLUB - CASA MATTY
12,100% COTTON 90*90 LEA SLUB - TESLA
13,100% COTTON 80*80 LEA SLUB - JAGUAR
14,100% COTTON 60*60 LEA SLUB - FERARI
15,21ST CENTURY FABRIC
16,EXCELLENT
17,MAGNUM GIZA
18,KRIPLON
19,21ST CENTURY FABRICS 80 X80 GIZA (LA TESSUTI)
20,THE EXCLUSIVE GIZA COLLECTION (POSH)
21,21ST CENTURY FABRIC 100% COTTON DORIA SHIRTING (ITALIC REMI)
22,PREMIUM COTTON FABRIC GIZA X GIZA GUARANTEED
23,BENZ-185-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
24,BENZ-1810-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
25,BENZ-184-FINEST GIZA COTTON LUXURY ITALINO CLOTHING
26,80*80 GIZA COTTON PREMIUM FABRICS
27,80*80 GIZA JAQUARD FABRIC
28,THE PREMIUM GIZA BELGIUM WAFFLE
29,VOLVO GIZA MADE BY 60 COTTON FEEL
30,DYNORA - 101
31,DYNORA - 102
32,DYNORA - 103
33,DYNORA - 104
34,100% SUPERFINE ITALIAN FINISH PREMIUM GIZA COTTON
35,PRADA GIZA
36,TUSCANY
37,WHITE ROSE MILLS
38,BENZ - 211 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
39,BENZ - 212 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
40,BENZ - 213 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
41,BENZ - 183 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
42,BENZ - 184 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
43,BENZ - 191  FINEST GIZA COTTON LUXURY ITALINO CLOTHING
44,BENZ - 287 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
45,BENZ - 290 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
46,BENZ - 291  FINEST GIZA COTTON LUXURY ITALINO CLOTHING
47,BENZ - 193 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
48,BENZ - 186 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
49,BENZ - 192 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
50,BENZ - 209 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
51,BENZ - 210 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
52,BENZ - 214 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
53,BENZ - 288  FINEST GIZA COTTON LUXURY ITALINO CLOTHING
54,BENZ - 289 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
55,BENZ - 292 FINEST GIZA COTTON LUXURY ITALINO CLOTHING
56,JAQUARD BUTTA
57,SIYARAMS 60*60
